一级菜单,二级菜单,三级菜单/页面,功能点,概述
开发中心,智能体开发,智能体测评,删除评测任务,删除不再需要的评测记录
开发中心,智能体开发,智能体测评,数据集管理,查看评测集列表含名称/来源类型（手动导入/自动生成/混合组装）/数据量/当前版本/管理者
开发中心,智能体开发,智能体测评,创建数据集（3步向导）,步骤1-填写基本信息；步骤2-数据录入（手动逐条录入/批量CSV或JSON上传/AI自动生成/混合组装）；步骤3-确认保存
开发中心,智能体开发,智能体测评,数据集数据管理,对已创建数据集进行增删改查操作支持添加数据/上传文件/AI批量生成
开发中心,智能体开发,智能体测评,数据集版本管理,查看历史版本列表（版本号/数据量/变更说明/发布人/发布时间）支持预览各版本
开发中心,智能体开发,智能体测评,数据集版本发布,展示新增/修改/删除数据统计填写版本变更说明发布新版本
开发中心,智能体开发,智能体测评,评估器管理,查看评估器列表含名称/类型（LLM裁判/Code逻辑）/描述/引用次数/管理者
开发中心,智能体开发,智能体测评,创建评估器-LLM类型,选择LLM Prompt裁判类型→填写名称描述→配置系统提示词→配置用户提示词模板→设置评分阈值（合格/人工复核/直接拒绝）
开发中心,智能体开发,智能体测评,创建评估器-Code类型,选择Code逻辑评估器类型→编写Python评估脚本（开发中暂未开放）
开发中心,智能体开发,智能体测评,评估器测试验证,输入用户问题/期望输出/AI实际输出运行测试获取评估结果（评分/PASS或FAIL/评估理由/各维度得分）
开发中心,组件管理,模型管理,模型列表（表格/卡片视图）,查看所有已接入模型支持表格与卡片两种展示模式
开发中心,组件管理,模型管理,模型筛选,按名称搜索按模型类型（通用大模型/推理模型/多模态模型/向量化模型/重排序模型/语音识别）部署方式（公网/本地/私有云）状态（启用/停用）筛选
开发中心,组件管理,模型管理,添加/注册模型,填写模型显示名称/模型标识/类型/API端点/API Key/部署方式等参数注册新模型
开发中心,组件管理,模型管理,编辑/删除模型,修改模型配置信息或删除模型
开发中心,组件管理,模型管理,启用/停用模型,控制模型的启用状态以管理调用可用性
开发中心,组件管理,模型管理,查看模型详情,展示模型完整配置信息/连接状态/调用统计等
开发中心,组件管理,提示词管理,提示词模板列表,查看所有提示词模板含名称/分类/编排模式（自定义/工程化）/变量列表/使用次数
开发中心,组件管理,提示词管理,提示词筛选,按名称搜索按编排模式（自定义/工程化）业务分类（警情分析/反诈研判/治安管理/交通管理/刑侦办案）筛选
开发中心,组件管理,提示词管理,新建提示词模板,填写名称/选择分类/选择编排模式/编写提示词内容（支持${变量}语法）自动提取变量
开发中心,组件管理,提示词管理,编辑提示词模板,修改已有模板的名称/分类/内容和变量
开发中心,组件管理,提示词管理,查看提示词详情,查看模板完整内容/变量列表/使用统计/创建信息
开发中心,组件管理,提示词管理,复制提示词模板,一键复制模板为副本
开发中心,组件管理,提示词管理,删除提示词模板,删除不再使用的模板
开发中心,组件管理,工具管理,工具列表（表格/卡片视图）,查看所有已注册工具含名称/类型（插件/API/工作流）/提供方/状态/调用次数/成功率
开发中心,组件管理,工具管理,工具筛选,按名称/提供方搜索按类型/状态筛选
开发中心,组件管理,工具管理,注册工具,注册新的插件工具/API工具/工作流到平台（功能预留）
开发中心,组件管理,工具管理,查看/编辑工具,查看工具详细参数定义编辑工具配置
开发中心,组件管理,工具管理,工具统计卡片,展示工具总数/插件数/API工具数/工作流数
开发中心,组件管理,连接器管理,连接器列表（表格/卡片视图）,查看所有MCP连接器含名称/连接模式（SSE/stdio）/连接状态/暴露工具数/调用次数/平均延迟
开发中心,组件管理,连接器管理,连接器筛选,按名称搜索按连接模式/连接状态筛选
开发中心,组件管理,连接器管理,添加连接器,添加新的MCP连接器（SSE远程或stdio本地进程）配置连接参数
开发中心,组件管理,连接器管理,查看/编辑连接器,查看连接器详情/暴露的工具列表编辑连接配置
开发中心,组件管理,连接器管理,连接状态监控,实时展示连接器状态（已连接/连接异常/离线）及对应图标
开发中心,组件管理,技能管理,可复用技能单元管理,管理可复用的技能单元（占位开发中）
开发中心,组件管理,数据连接,数据源列表,查看所有数据源连接含名称/数据库名/数据库类型/主机地址端口/连接状态
开发中心,组件管理,数据连接,数据源筛选,按名称搜索按数据库类型（MySQL/Oracle/PostgreSQL/MongoDB/Elasticsearch/Redis）连接状态筛选
开发中心,组件管理,数据连接,添加数据源,填写名称/选择数据库类型/配置主机地址端口/填写数据库名及认证信息创建新的数据连接
开发中心,组件管理,数据连接,编辑/删除数据源,修改数据源配置或删除连接
开发中心,组件管理,数据连接,查看数据源详情,展示数据源完整连接信息/表或集合预览/连接测试结果
开发中心,组件管理,数据连接,连接状态展示,显示已连接/连接异常/未连接三种状态及对应图标
开发中心,组件管理,知识库,知识库列表,查看所有知识库含名称/类型（简易/专业/外部）/状态/文档数/创建者/Ragflow同步状态
开发中心,组件管理,知识库,知识库筛选,按关键字搜索按类型筛选
开发中心,组件管理,知识库,创建知识库（3种类型）,简易知识库（开箱即用）/专业知识库（自定义分块和向量化策略）/外部知识库（挂接API）
开发中心,组件管理,知识库,知识库详情-文档管理,查看知识库内文档列表（文件名/大小/状态/更新时间）支持上传新文档
开发中心,组件管理,知识库,知识库详情-召回测试,输入查询文本测试知识库检索召回效果
开发中心,组件管理,知识库,知识库详情-API接入,查看知识库API端点信息支持一键复制
开发中心,组件管理,知识库,知识库详情-设置,配置embedding模型/分块方法/分块大小/分隔符/重叠长度/表格上下文/父子分块/元数据提取等解析配置
开发中心,组件管理,知识库,Ragflow同步,与Ragflow知识引擎进行数据同步展示同步状态（未同步/创建中/已同步/失败）及同步错误信息
开发中心,组件管理,知识库,删除知识库,删除不再使用的知识库
开发中心,组件管理,知识库,知识库启用/停用,控制知识库可用状态
开发中心,资源广场,资源广场,资源浏览与筛选,浏览平台上架的公共资源按类型（全部/精选/模型/API/连接器/知识库/提示词/插件工具/数据连接）Tab筛选
开发中心,资源广场,资源广场,资源搜索,按名称/描述/所有者搜索资源
开发中心,资源广场,资源广场,精选推荐,展示标记为"精选"的优质资源
开发中心,资源广场,资源广场,资源卡片展示,展示资源名称/类型标识/所有者/公开策略（完全公开/公开可见授权可用/授权可见）/安装次数/发布时间
开发中心,资源广场,资源广场,资源详情查看,查看资源完整元数据（API端点/模型标识/参数定义/使用示例等Markdown格式说明文档）
开发中心,资源广场,资源广场,资源申请/安装,选择安装目标空间/授权期限（长期/指定日期）/填写申请原因提交资源使用申请
开发中心,资源广场,我的资源,我的资源列表,查看所有已申请/已安装/共享的资源含资源名称/类型/安装状态/授权来源/授权到期时间
开发中心,资源广场,我的资源,资源类型Tab筛选,按资源类型（全部/模型/API/连接器/知识库/提示词/插件工具/数据连接）Tab筛选
开发中心,资源广场,我的资源,安装状态筛选,按安装状态（已安装/未安装/安装失败/安装中）筛选
开发中心,资源广场,我的资源,授权来源筛选,按授权来源（我申请的/共享给我的/管理员授权）筛选
开发中心,资源广场,我的资源,批量安装,进入批量模式多选资源后一键批量安装
开发中心,资源广场,我的资源,单个安装/重装,对未安装或安装失败的资源发起安装或重装
开发中心,资源广场,我的资源,查看API Key,已安装的API/模型类资源支持查看/复制API Key（带安全遮罩和确认弹窗）
开发中心,资源广场,我的资源,续期申请,对即将过期的授权进行续期操作
开发中心,资源广场,我的资源,资源详情查看,查看资源完整元数据文档
开发中心,资源广场,我的资源,资源统计,展示总数/已安装/待安装/即将过期等统计数据
开发中心,空间运营,统计分析,空间资源概览,展示当前空间的智能体数/知识库数/提示词数/工具数/模型数/连接器数
开发中心,空间运营,统计分析,30天调用量趋势,以面积+折线组合图展示近30天智能体调用次数和Token消耗趋势
开发中心,空间运营,统计分析,Token消耗趋势,展示30天内输入/输出Token分项趋势图
开发中心,空间运营,统计分析,智能体类型分布,饼图展示标准智能体/流程智能体/自主智能体的数量分布
开发中心,空间运营,统计分析,智能体活跃Top10,柱状图展示调用量最高的10个智能体排名
开发中心,空间运营,统计分析,时间范围切换,支持切换统计时间范围（近三十天/近七天等）
开发中心,空间运营,空间管理,基本信息编辑,查看和编辑空间名称/描述/所属部门/图标等基本信息
开发中心,空间运营,空间管理,成员管理,查看空间成员列表（姓名/部门/角色/加入时间/最后活跃）支持按姓名部门搜索按角色筛选
开发中心,空间运营,空间管理,添加成员,通过成员选择器添加新成员并指定角色（普通用户/所有者）
开发中心,空间运营,空间管理,修改成员角色,调整空间内成员的角色权限
开发中心,空间运营,空间管理,移除成员,将成员移出空间（个人空间不支持）
开发中心,空间运营,空间管理,操作日志,查看空间的完整操作记录（操作人/操作类型/操作对象/操作时间/IP地址）支持搜索和按时间范围筛选/查看操作详情
开发中心,空间运营,空间管理,空间设置,空间安全设置/功能开关等配置项
开发中心,全局功能,工作空间切换器,工作空间切换,在当前空间列表间切换支持按名称搜索过滤空间
开发中心,全局功能,页签导航,页签管理,路由变化时自动创建页签支持页签关闭管理
开发中心,全局功能,左侧导航折叠,侧边栏折叠,侧边栏支持折叠/展开折叠时隐藏分组标题仅显示图标
运维中心,资源监控,智能体分析,智能体监控,智能体调用量趋势（24小时）/智能体调用排行Top7（含成功率）/平均延迟趋势（p50/p95/p99）/错误类型分布统计总调用次数/成功率/平均延迟/异常率
运维中心,资源监控,模型分析,模型监控,查看模型维度的调用量/成功率/延迟/Token消耗等资源监控指标
运维中心,资源监控,知识库分析,知识库监控,查看知识库维度的检索量/命中率/文档量等资源监控指标
运维中心,资源监控,工具分析,工具监控,查看工具维度的调用量/成功率/延迟等资源监控指标
运维中心,资源监控,连接器分析,连接器监控,查看连接器维度的调用量/连接成功率/暴露工具调用等监控指标
运维中心,运营洞察,部门分析,部门运营数据,各部门（指挥中心/刑警大队/反诈中心/交警支队）的调用趋势（近7天面积图）/部门关键指标（调用量/用户数/智能体数/增长率）支持多部门对比模式和单部门选择查看
运维中心,运营洞察,用户分析,用户运营数据,用户维度的活跃情况/使用频率/功能偏好等运营数据分析
运维中心,运营洞察,空间分析,空间运营数据,空间维度的活跃度/资源使用/成员参与度等运营数据分析
运维中心,运营洞察,运营指标总览,平台级运营指标,展示活跃用户数/月度调用量/月Token消耗/活跃智能体等平台级运营指标（含环比/同比趋势）
运维中心,运营洞察,对比模式,多维度对比,支持开启对比模式同时比较多个部门/空间/用户的运营数据
运维中心,运维监控,告警监控,告警记录列表,告警记录列表含级别（紧急/严重/警告/提示）/告警标题/类型/影响资源/所属空间/触发时间/持续时长/处理状态
运维中心,运维监控,告警监控,告警记录筛选,按关键字搜索按级别/处理状态筛选
运维中心,运维监控,告警监控,查看告警详情,查看告警详细信息/触发规则/告警趋势图
运维中心,运维监控,告警监控,认领/处理告警,将待处理告警认领为处理中进行处理流转
运维中心,运维监控,告警监控,告警规则管理,查看告警规则列表（规则名称/监控目标/触发条件/告警级别/启用状态/创建时间）
运维中心,运维监控,告警监控,创建告警规则,创建自定义告警规则定义监控条件与告警动作
运维中心,运维监控,会话日志,会话列表查询,查看所有用户与智能体的对话会话记录含会话ID/渠道（Web/API/企业微信/第三方）/智能体/空间/用户/会话标题/消息数/Token消耗/开始时间/最后活跃/运行状态
运维中心,运维监控,会话日志,会话筛选,按会话标题/智能体名称/用户名搜索按运行状态（正常运行/部分报错/全部报错）筛选
运维中心,运维监控,会话日志,会话详情查看,点击查看会话完整消息记录逐条展示用户提问与智能体回复内容
运维中心,运维监控,会话日志,实时刷新,手动刷新会话列表获取最新数据
运维中心,运维监控,会话日志,会话统计指标,展示今日会话数/活跃会话数/平均消息数/异常会话数统计卡片
管理中心,空间管理,空间管理（管理视角）,空间全量列表,查看所有空间的列表（名称/状态/类型/智能体数/成员数/创建时间）管理员视角全量管理
管理中心,空间管理,空间管理（管理视角）,空间筛选,按名称搜索按状态（启用/冻结/归档）空间类型（个人/工作/专案）筛选
管理中心,空间管理,空间管理（管理视角）,创建空间（3步向导）,步骤1-填写基本信息（名称/部门/类型/图标）；步骤2-设置负责人；步骤3-添加成员（支持批量选择）最后确认创建
管理中心,空间管理,空间管理（管理视角）,查看空间详情,查看空间基本信息/成员列表/资源统计（智能体/知识库/提示词/工具/模型/连接器数量）
管理中心,空间管理,空间管理（管理视角）,编辑空间信息,修改空间名称/图标/描述等信息
管理中心,空间管理,空间管理（管理视角）,冻结/解冻空间,对违规或停用空间执行冻结/解冻操作（需二次确认）
管理中心,空间管理,空间管理（管理视角）,归档空间,将已完成项目的空间进行归档
管理中心,空间管理,空间管理（管理视角）,删除空间,删除不再使用的空间
管理中心,空间管理,空间管理（管理视角）,空间成员管理,查看空间成员列表（姓名/部门/角色）支持添加成员并选择角色
管理中心,空间管理,空间管理（管理视角）,空间操作日志,查看空间的管理操作历史记录
管理中心,系统管理,组织管理,组织架构与部门管理,管理平台组织架构和部门信息（占位开发中）
管理中心,系统管理,用户管理,平台用户账号与权限管理,管理平台用户账号/资料与权限配置（占位开发中）
管理中心,系统管理,角色管理,角色定义与岗位权限配置,定义角色及对应的岗位权限策略（占位开发中）
